MUNICIPALIDAD DE CHINAUTLA, GUATEMALA|GUATEMALA|2990555|12100106 - MUNICIPALIDAD DE CHINAUTLA|DEPARTAMENTO DE COMPRAS|CHINAUTLA
MUNICIPALIDAD DE CHINAUTLA, GUATEMALA|GUATEMALA|2990555|12100106 - MUNICIPALIDAD DE CHINAUTLA|TESORERÍA MUNICIPAL|CHINAUTLA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|UNIDAD EJECUTORA USAC/BCIE|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|FACULTAD DE INGENIERIA.|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|DIVISION DE SERVICIOS GENERALES|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|FACULTAD DE CIENCIAS ECONOMICAS|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|DIRECCION GENERAL DE DOCENCIA|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|RECTORIA.|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|ALTA VERAPAZ|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|CENTRO UNIVERSITARIO DE PETEN -CUDEP-|SAN BENITO
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|DIVISION DE PUBLICIDAD E INFORMACIÓN|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|FACULTAD DE HUMANIDADES|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|FACULTAD DE CIENCIAS QUIMICAS Y FARMACIA|GUATEMALA
UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|GUATEMALA|2551179|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|UNIDAD COMPRADORA CENTRAL / DEPARTAMENTO DE PROVEEDURÍA|GUATEMALA
