categoria|status|monto|nog|nit_proveedor|nit_comprador|descripcion|fecha_publicada|modalidad_compra|tipo_ofertas|fecha_presentacion_ofertas|nombre_comprador|unidades|fecha_adjudicada|fecha_cierre_ofertas
Salud e insumos hospitalarios|Terminado adjudicado|Q27,912.50|4926862|75675285|2342855|EVENTO No.129-2016 SUCRALFATO, SUSPENSIÓN 1G/5ML FRASCO 200-240 ML, CÓDIGO No.210|25.mayo.2016 Hora:10:01:46 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:10:00:00 a. m.|UNIDAD ASISTENCIAL AMATITLAN, GUATEMALA|1|01.junio.2016 Hora:11:01:47 a. m.|27.mayo.2016 Hora:10:30:00 a. m.
Transporte, repuestos y combustibles|Terminado adjudicado|Q61,620.00|4952073|78103843|3441008|Tour operador que preste los servicios turísticos según itinerario en términos adjuntos, del 2 al 6/6/2016, para la gira de prensa y familiarizacion Guatemagica, Honduras y Guatemala para 26 personas.|30.mayo.2016 Hora:5:46:41 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|01.junio.2016 Hora:2:30:00 p. m.|SECCIÓN DE COMPRAS|1|01.junio.2016 Hora:3:53:28 p. m.|01.junio.2016 Hora:3:00:00 p. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,696.43|4840178|65488180|2342855|MATERIAL DE OSTEOSINTESIS PARA EL PACIENTE MEDARDO GUZMAN BLANCO, AFILIACION 166017178, FECHA DE OPERACION 13/05/2016, SOLICITA DR. OSCAR MARTINEZ|06.mayo.2016 Hora:12:54:57 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|10.mayo.2016 Hora:10:00:00 a. m.|HOSPITAL DE ESCUINTLA|2|01.junio.2016 Hora:2:57:15 p. m.|10.mayo.2016 Hora:10:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,149.50|4918991|67680895|2342855|Metronidazol, Tableta 500 mg|23.mayo.2016 Hora:4:24:22 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.mayo.2016 Hora:8:00:00 a. m.|CENTRO DE ATENCION MEDICA INTEGRAL PARA PENSIONADOS (CAMIP)|1|01.junio.2016 Hora:3:24:23 p. m.|25.mayo.2016 Hora:8:30:00 a. m.
1. Papelería y artículos de librería~2. Otros tipos de bienes o servicios|Terminado adjudicado|Q15,557.25|4912713|4851498|5028434|Compra de útiles de oficina solicitados por la Sección de Almacén, Unidad de Apoyo Administrativo, CONALFA.|23.mayo.2016 Hora:12:41:37 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|26.mayo.2016 Hora:1:30:00 p. m.|UNIDAD DE COMPRAS CONALFA|26|01.junio.2016 Hora:1:10:44 p. m.|26.mayo.2016 Hora:2:00:00 p. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q14,753.57|4803183|7950837|2342855|3,600  CIANOCOBALAMINA, CLORHIDRATO DE PIRIDOXINA, DICLOFENACO SODICO, TIAMINA MONONITRATO, TABLETAS DE LIBERACION PROLONGADA 1 MG/100 MG 100MG/100 MG|27.mayo.2016 Hora:9:59:15 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:30:00 a. m.|CONSULTORIO PALIN, ESCUINTLA|1|01.junio.2016 Hora:11:48:26 a. m.|31.mayo.2016 Hora:9:00:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q75,180.00|4932048|25038923|2318024|COMPRA DE PROPOFOL AMPOLLA 200MG/20ML PARA EL HOSPITAL REGIONAL DE OCCIDENTE, QUETZALTENANGO.|25.mayo.2016 Hora:4:04:23 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|27.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL REGIONAL DE OCCIDENTE QUETZALTENANGO|1|01.junio.2016 Hora:11:10:39 a. m.|27.mayo.2016 Hora:8:30:00 a. m.
Alimentos y semillas|Terminado adjudicado|Q44,428.57|4918444|671517|2342855|BASES PARA OFERTAR EVENTO 785- Fórmula especializada para niños , Polvo de 400 g - 460 g. COD.455|23.mayo.2016 Hora:4:55:05 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|25.mayo.2016 Hora:9:00:00 a. m.|HOSPITAL DE MAZATENANGO|1|01.junio.2016 Hora:2:39:04 p. m.|25.mayo.2016 Hora:9:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q22,834.82|4916271|1204076|2342855|HIDRALAZINA CLORHIDRATO, SOLUCIÓN INYECTABLE O POLVO PARA INYECCIÓN 20 MG / ML VIAL O AMPOLLA 1 ML. COD. IGSS 619.|25.mayo.2016 Hora:3:41:34 p. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:00:00 a. m.|HOSPITAL DE RETALHULEU|1|01.junio.2016 Hora:10:56:19 a. m.|31.mayo.2016 Hora:8:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q1,964.29|4941233|65488180|2342855|MATERIAL DE OSTEOSINTESIS PARA EL PACIENTE JOSE OROZCO TZINA, AFILIACION 201005092158, FECHA DE OPERACION 04/06/2016, SOLICITA DR. OSCAR MARTINEZ|27.mayo.2016 Hora:10:48:44 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:10:00:00 a. m.|HOSPITAL DE ESCUINTLA|2|01.junio.2016 Hora:3:20:45 p. m.|31.mayo.2016 Hora:10:30:00 a. m.
Salud e insumos hospitalarios|Terminado adjudicado|Q8,428.57|4802926|7477279|2342855|8,000 BROMOPRIDA, CAPSULA DE 10 MG.|27.mayo.2016 Hora:9:47:42 a. m.|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|Sólo electrónicas.|31.mayo.2016 Hora:8:30:00 a. m.|CONSULTORIO PALIN, ESCUINTLA|1|01.junio.2016 Hora:11:28:52 a. m.|31.mayo.2016 Hora:9:00:00 a. m.
