|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Textiles, ropa y calzado|,|Terminado adjudicado|,|Q17,600.00|,|5182573|,|42657415|,|6284833|,|COMPRA DE 176 CHALECOS PARA MIEMBROS DE LOS CONSEJOS COMUNITARIOS DE DESARROLLO  COCODES DEL MUNICIPIO DE PALESTINA DE LOS ALTOS, QUETZALTENANGO|,|27.julio.2016 Hora:7:23:28 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.julio.2016 Hora:11:00:00 a. m.|,|DEPARTAMENTO DE COMPRAS|,|1|,|01.agosto.2016 Hora:4:11:13 p. m.|,|29.julio.2016 Hora:11:30:00 a. m.|
|Alimentos y semillas|,|Terminado adjudicado|,|Q28,814.00|,|5164990|,|40268756|,|2318024|,|ADQUISICIÓN DE AZUCAR, ARROZ PRECOCIDO, LECHE EN POLVO Y OTROS ABARROTES PARA EL HOSPITAL REGIONAL DE HUEHUETENANGO DR. JORGE VIDES MOLINA|,|26.julio.2016 Hora:4:21:57 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.julio.2016 Hora:9:30:00 a. m.|,|HOSPITAL REGIONAL DE HUEHUETENANGO DR. JORGE VIDES MOLINA|,|28|,|01.agosto.2016 Hora:11:33:41 a. m.|,|28.julio.2016 Hora:10:00:00 a. m.|
|Alimentos y semillas|,|Terminado adjudicado|,|Q3,313.00|,|5164990|,|25631918|,|2318024|,|ADQUISICIÓN DE AZUCAR, ARROZ PRECOCIDO, LECHE EN POLVO Y OTROS ABARROTES PARA EL HOSPITAL REGIONAL DE HUEHUETENANGO DR. JORGE VIDES MOLINA|,|26.julio.2016 Hora:4:21:57 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.julio.2016 Hora:9:30:00 a. m.|,|HOSPITAL REGIONAL DE HUEHUETENANGO DR. JORGE VIDES MOLINA|,|28|,|01.agosto.2016 Hora:11:33:41 a. m.|,|28.julio.2016 Hora:10:00:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q41,450.00|,|5180600|,|10024972|,|5583934|,|MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE EN COLONIA BUENOS AIRES, CABECERA MUNICIPAL, MOYUTA, JUTIAPA|,|27.julio.2016 Hora:3:10:48 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.julio.2016 Hora:11:30:00 a. m.|,|MUNICIPALIDAD DE MOYUTA|,|1|,|01.agosto.2016 Hora:4:49:42 p. m.|,|29.julio.2016 Hora:12:00:00 p. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q84,000.00|,|5102790|,|3123987|,|3441024|,|Servicio de extracción de basura, de la Central de Mayoreo hacia el relleno sanitario de la Zona 3, de la Ciudad de Guatemala.|,|07.julio.2016 Hora:10:48:22 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|11.julio.2016 Hora:3:00:00 p. m.|,|DIRECCION DE MERCADOS|,|1|,|01.agosto.2016 Hora:3:49:25 p. m.|,|11.julio.2016 Hora:3:30:00 p. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,715.75|,|5132894|,|7477279|,|2342855|,|EVENTO 892/2016 CODIGO 2064 COMPRA DE MEDICMENTOS|,|14.julio.2016 Hora:3:03:18 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|18.julio.2016 Hora:8:00:00 a. m.|,|HOSPITAL DR. JUAN JOSE AREVALO BERMEJO|,|1|,|01.agosto.2016 Hora:9:55:38 a. m.|,|18.julio.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q30,759.96|,|5181348|,|7550022|,|3441008|,|Empresa que de Servicio de hospedaje y alimentación en Coban para 44 personas para la capacitación para Guardarecursos de Parques Nacionales y Áreas Protegidas para 44 personas los días 23,24,25/8/16|,|27.julio.2016 Hora:3:44:56 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|01.agosto.2016 Hora:2:00:00 p. m.|,|SECCIÓN DE COMPRAS|,|1|,|01.agosto.2016 Hora:4:38:37 p. m.|,|01.agosto.2016 Hora:2:30:00 p. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q357.14|,|5178703|,|24125814|,|2342855|,|CODIGO IGSS 872, LIDOCAÍNA CLORHIDRATO SIN EPINEFRINA, SIN PRESERVANTE, SOLUCIÓN INYECTABLE 2%,VIAL O AMPOLLA 10 ML - 20 ML|,|27.julio.2016 Hora:11:52:27 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.julio.2016 Hora:9:00:00 a. m.|,|CENTRO DE ATENCIÓN MÉDICA INTEGRAL PARA PENSIONADOS CAMIP 3 ZUNIL|,|1|,|01.agosto.2016 Hora:11:02:09 a. m.|,|29.julio.2016 Hora:9:30:00 a. m.|
|Papelería y artículos de librería|,|Terminado adjudicado|,|Q9,960.60|,|5150434|,|1251800K|,|16693949|,|65 Cajas de papel higiénico jumbo.|,|22.julio.2016 Hora:3:17:03 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|26.julio.2016 Hora:2:00:00 p. m.|,|SAT - GERENCIA REGIONAL NORORIENTE|,|1|,|01.agosto.2016 Hora:9:33:44 a. m.|,|26.julio.2016 Hora:2:30:00 p. m.|
|1. Computación y telecomunicaciones~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q4,464.29|,|5170621|,|9792120|,|2342855|,|4 RADIO INTERCOMUNICADOR C-S/C|,|25.julio.2016 Hora:4:06:29 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.julio.2016 Hora:8:00:00 a. m.|,|HOSPITAL DEPARTAMENTAL PUERTO BARRIOS, IZABAL|,|1|,|01.agosto.2016 Hora:9:11:51 a. m.|,|27.julio.2016 Hora:8:30:00 a. m.|
