|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q7,982.14|,|4560566|,|7593589|,|2342855|,|Set de material de fijación, Presolicitud 1119/16.|,|18.febrero.2016 Hora:12:18:05 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|19.febrero.2016 Hora:9:30:00 a. m.|,|HOSPITAL GENERAL DE ACCIDENTES CEIBAL|,|1|,|01.abril.2016 Hora:4:49:32 p. m.|,|19.febrero.2016 Hora:10:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q45,000.00|,|4661710|,|55792839|,|2342855|,|EVENTO 252-16, CODIGO 10583|,|15.marzo.2016 Hora:8:51:07 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|17.marzo.2016 Hora:9:00:00 a. m.|,|HOSPITAL DR. JUAN JOSE AREVALO BERMEJO|,|20|,|01.abril.2016 Hora:4:15:42 p. m.|,|17.marzo.2016 Hora:9:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q79,963.93|,|4686470|,|36551686|,|2342855|,|EVENTO 72/2016 CODIGO 6831|,|21.marzo.2016 Hora:3:41:50 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.marzo.2016 Hora:8:00:00 a. m.|,|HOSPITAL DR. JUAN JOSE AREVALO BERMEJO|,|780|,|01.abril.2016 Hora:1:43:47 p. m.|,|29.marzo.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q15,606.00|,|4698010|,|70512191|,|16693949|,|Treinta (30) extintores ABC|,|29.marzo.2016 Hora:3:55:51 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|31.marzo.2016 Hora:8:00:00 a. m.|,|DEPARTAMENTO DE COMPRAS Y CONTRATACIONES|,|1|,|01.abril.2016 Hora:11:34:58 a. m.|,|31.marzo.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q75,071.43|,|4582381|,|7477279|,|2342855|,|Evento No. 401/2016 Compra de Alglucosidasa alfa, polvo liofilizado, 50 mg|,|29.febrero.2016 Hora:8:33:00 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|21.marzo.2016 Hora:8:30:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ESPECIALIDADES MEDICO-QUIRURGICAS GERONA|,|10|,|01.abril.2016 Hora:1:14:44 p. m.|,|21.marzo.2016 Hora:9:00:00 a. m.|
|Electricidad y aire acondicionado|,|Terminado adjudicado|,|Q85,000.00|,|4703944|,|38477904|,|6605338|,|REPARACIÓN SISTEMA DE BOMBEO, CANTÓN LOS LIMONES, CASILLAS, SANTA ROSA.|,|30.marzo.2016 Hora:4:00:53 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|01.abril.2016 Hora:9:00:00 a. m.|,|UNIDAD DE COMPRAS|,|1~1~48~1~1~1~12~15~1~1~40|,|01.abril.2016 Hora:6:04:39 p. m.|,|01.abril.2016 Hora:9:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q88,828.57|,|4661494|,|22345388|,|2342855|,|EVENTO 247-16, CODIGO 10379|,|15.marzo.2016 Hora:8:48:09 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|17.marzo.2016 Hora:9:00:00 a. m.|,|HOSPITAL DR. JUAN JOSE AREVALO BERMEJO|,|2|,|01.abril.2016 Hora:11:18:10 a. m.|,|17.marzo.2016 Hora:9:30:00 a. m.|
|1. Limpieza, fumigación y artículos afines~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q7,500.00|,|4691814|,|67938795|,|3377725|,|limpieza de vidrios exteriores|,|28.marzo.2016 Hora:10:43:19 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|31.marzo.2016 Hora:10:00:00 a. m.|,|DEPARTAMENTO DE ADQUISICIONES DE BIENES Y SERVICIOS|,|1|,|01.abril.2016 Hora:9:13:26 a. m.|,|31.marzo.2016 Hora:10:30:00 a. m.|
|1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q8,636.16|,|4632842|,|12074462|,|2551179|,|ELEMENTOS Y COMPUESTOS QUIMICOS|,|08.marzo.2016 Hora:3:44:33 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|11.marzo.2016 Hora:2:00:00 p. m.|,|FACULTAD DE CIENCIAS MÉDICAS|,|250~250|,|01.abril.2016 Hora:3:29:11 p. m.|,|11.marzo.2016 Hora:2:30:00 p. m.|
|1. Salud e insumos hospitalarios~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q2,006.70|,|4632842|,|5208297|,|2551179|,|ELEMENTOS Y COMPUESTOS QUIMICOS|,|08.marzo.2016 Hora:3:44:33 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|11.marzo.2016 Hora:2:00:00 p. m.|,|FACULTAD DE CIENCIAS MÉDICAS|,|250~250|,|01.abril.2016 Hora:3:29:11 p. m.|,|11.marzo.2016 Hora:2:30:00 p. m.|
