|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Alimentos y semillas|,|Terminado adjudicado|,|Q90,000.00|,|4409892|,|19503377|,|3377881|,|ALIMENTACIÓN PREPARADA Y SERVIDA PARA LA DIRECCIÓN DE PROTECCIÓN ESPECIAL ESPECIAL RESIDENCIAL HOGAR SEGURO VIRGEN DE LA ASUNCIÓN.|,|31.diciembre.2015 Hora:10:34:12 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|01.enero.2016 Hora:11:00:00 a. m.|,|SECRETARIA DE BIENESTAR SOCIAL DE LA PRESIDENCIA|,|5|,|01.enero.2016 Hora:12:33:44 p. m.|,|01.enero.2016 Hora:11:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q594,400.00|,|4396235|,|36119660|,|6985963|,|MEJORAMIENTO MERCADO LOCALES, ALDEA SANTO DOMINGO XEEN, SAN SEBASTIÁN COATÁN, HUEHUETENANGO.|,|15.diciembre.2015 Hora:11:37:41 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|29.diciembre.2015 Hora:9:00:00 a. m.|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|1|,|03.enero.2016 Hora:10:12:03 p. m.|,|29.diciembre.2015 Hora:9:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q595,715.08|,|4394461|,|40450325|,|2835126|,|MEJORAMIENTO CALLE CRUCE EL JORDAN A CASERIO EL ESCARBADO II, SAYAXCHE PETEN|,|16.diciembre.2015 Hora:12:05:19 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|30.diciembre.2015 Hora:9:00:00 a. m.|,|DMP MUNICIPALIDAD SAYAXCHE, PETEN|,|1|,|04.enero.2016 Hora:4:19:56 p. m.|,|30.diciembre.2015 Hora:9:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q610,904.52|,|4394348|,|8309361|,|6434290|,|CONSTRUCCION CAMINO RURAL (APERTURA BRECHA) CASERIO TZAMILEP, CUBULCO, BAJA VERAPAZ|,|15.diciembre.2015 Hora:5:36:53 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|29.diciembre.2015 Hora:3:00:00 p. m.|,|CARLOS VINICIO LOPEZ GARCIA|,|1|,|04.enero.2016 Hora:9:32:23 a. m.|,|29.diciembre.2015 Hora:3:30:00 p. m.|
|Seguridad y armamento|,|Terminado adjudicado|,|Q89,000.00|,|4401875|,|12085111|,|2318024|,|ADQUISICION DEL SERVICIO DE SEGURIDAD|,|17.diciembre.2015 Hora:1:28:19 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|22.diciembre.2015 Hora:10:00:00 a. m.|,|HOSPITAL DE CUILAPA|,|1|,|04.enero.2016 Hora:10:24:57 a. m.|,|22.diciembre.2015 Hora:10:30:00 a. m.|
|Transporte, repuestos y combustibles|,|Terminado adjudicado|,|Q54,080.00|,|4408799|,|17435722|,|2318024|,|COMPRA DE COMBUSTIBLE DIÉSEL PARA CALDERAS PARA EL HOSPITAL REGIONAL DE OCCIDENTE, QUETZALTENANGO.|,|29.diciembre.2015 Hora:4:36:41 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|04.enero.2016 Hora:9:33:00 a. m.|,|HOSPITAL REGIONAL DE OCCIDENTE QUETZALTENANGO|,|1|,|04.enero.2016 Hora:2:58:08 p. m.|,|04.enero.2016 Hora:10:03:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q303,000.00|,|4246071|,|8171769|,|4208447|,|CONSTRUCCION CENTRO DE CAPACITACION AGRICOLA, ALDEA CHUACHITUJ, SANTA MARIA CHIQUIMULA, TOTONICAPAN|,|24.noviembre.2015 Hora:7:56:44 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|07.diciembre.2015 Hora:9:00:00 a. m.|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|1|,|04.enero.2016 Hora:11:15:08 a. m.|,|07.diciembre.2015 Hora:9:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q203,000.40|,|4393856|,|8349134|,|6434290|,|MEJORAMIENTO CAMINO RURAL CON CARRILERAS DE CONCRETO, CASERÍO EL PEÑASCO, CUBULCO BAJA VERAPAZ|,|15.diciembre.2015 Hora:2:33:52 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|29.diciembre.2015 Hora:11:00:00 a. m.|,|CARLOS VINICIO LOPEZ GARCIA|,|1|,|04.enero.2016 Hora:9:19:03 a. m.|,|29.diciembre.2015 Hora:11:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q12,142.86|,|4243110|,|38626926|,|2342855|,|Set de material de fijación, Presolicitud 1447/15.|,|21.septiembre.2015 Hora:10:42:30 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|22.septiembre.2015 Hora:10:30:00 a. m.|,|HOSPITAL GENERAL DE ACCIDENTES CEIBAL|,|1|,|04.enero.2016 Hora:4:51:24 p. m.|,|22.septiembre.2015 Hora:11:00:00 a. m.|
|Computación y telecomunicaciones|,|Terminado adjudicado|,|Q231,264.00|,|4388224|,|9929290|,|5150019|,|SERVICIO DE ACCESO A INTERNET CORPORATIVO Y ENLACES DE DATOS DE PUNTO A PUNTO ENTRE EL EDIFICIO MUNICIPAL Y DIFERENTES PUNTOS REMOTOS|,|10.diciembre.2015 Hora:3:17:59 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|23.diciembre.2015 Hora:10:00:00 a. m.|,|DEPARTAMENTO DE COMPRAS|,|1|,|04.enero.2016 Hora:2:51:10 p. m.|,|23.diciembre.2015 Hora:10:30:00 a. m.|
