|entidad_superior|,|departamento|,|nit|,|origen_fondos|,|nombre|,|municipio|
|FIDEICOMISO PARA LA PLANIFICACION Y DESARROLLO DEL MUNICIPIO DE VILLA NUEVA|,|GUATEMALA|,|37253107|,|12100115 - MUNICIPALIDAD DE VILLA NUEVA|,|FIDEVILLANUEVA|,|VILLA NUEVA|
|MUNICIPALIDAD DE TECULUTAN, ZACAPA|,|ZACAPA|,|6217583|,|12101905 - MUNICIPALIDAD DE TECULUTAN|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|TECULUTAN|
|MUNICIPALIDAD DE SAN JUAN ERMITA, CHIQUIMULA|,|CHIQUIMULA|,|6850189|,|12102003 - MUNICIPALIDAD DE SAN JUAN ERMITA|,|MUNICIPALIDAD SAN JUAN ERMITA, CHIQUIMULA|,|SAN JUAN ERMITA|
|MUNICIPALIDAD DE CHINAUTLA, GUATEMALA|,|GUATEMALA|,|2990555|,|12100106 - MUNICIPALIDAD DE CHINAUTLA|,|DEPARTAMENTO DE COMPRAS|,|CHINAUTLA|
|FEDERACION NACIONAL DE VOLEIBOL|,|GUATEMALA|,|6154565|,|11300066 - FEDERACION NACIONAL DE VOLEIBOL|,|FEDERACIÓN NACIONAL DE VOLEIBOL|,|GUATEMALA|
|MUNICIPALIDAD DE SALCAJA, QUETZALTENANGO|,|QUETZALTENANGO|,|5332621|,|12100902 - MUNICIPALIDAD DE SALCAJA|,|DIRECCION MUNICIPAL DE PLANIFICACION|,|SALCAJA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|EFPEM-USAC.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCIÓN GENERAL DE INVESTIGACIÓN/FONDO DE INVESTIGACION|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|UNIDAD EJECUTORA USAC/BCIE|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS ECONOMICAS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIRECCION GENERAL DE DOCENCIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|PETEN|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE PETEN -CUDEP-|,|SAN BENITO|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE PUBLICIDAD E INFORMACIÓN|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS JURIDICAS Y SOCIALES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE CIENCIAS MÉDICAS|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|RECTORIA/COORDINACION DE PROGRAMAS DE CURSOS LIBRE Y EDUCACIÓN CONTINUA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|DIVISION DE SERVICIOS GENERALES|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE ODONTOLOGIA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|CHIQUIMULA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|CENTRO UNIVERSITARIO DE ORIENTE (CUNORI)|,|CHIQUIMULA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|FACULTAD DE AGRONOMIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|UNIDAD COMPRADORA CENTRAL / DEPARTAMENTO DE PROVEEDURÍA|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|RECTORIA.|,|GUATEMALA|
|UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-|,|GUATEMALA|,|2551179|,|11300060 - UNIV. DE SAN CARLOS DE GUAT. -USAC-.|,|ESCUELA DE CIENCIAS PSICOLOGICAS.|,|GUATEMALA|
|INSPECCIÓN GENERAL DE COOPERATIVAS -INGECOP-|,|GUATEMALA|,|3724573|,|11200052 - INSPECCION GENERAL DE COOP. -INGECOP-|,|INSPECCIÓN GENERAL DE COOPERATIVAS -INGECOP-|,|GUATEMALA|
|SECRETARÍA DE INTELIGENCIA ESTRATÉGICA DEL ESTADO|,|GUATEMALA|,|12343056|,|11130016 - SECRETARIA DE INTELIGENCIA ESTRAT¿GICA DEL ESTADO|,|SECCION DE COMPRAS DA SIE|,|GUATEMALA|
|MINISTERIO DE FINANZAS PÚBLICAS|,|GUATEMALA|,|3378284|,|11130007 - MINISTERIO DE FINANZAS PÚBLICAS|,|TESORERIA NACIONAL|,|GUATEMALA|
|MINISTERIO DE FINANZAS PÚBLICAS|,|GUATEMALA|,|3378284|,|11130007 - MINISTERIO DE FINANZAS PÚBLICAS|,|DIRECCIÓN DE TECNOLOGIAS DE LA INFORMACION|,|GUATEMALA|
|ASOCIACION NACIONAL DE RAQUETBOL DE GUATEMALA|,|GUATEMALA|,|30157102|,|null|,|DEPARTAMENTO DE COMPRAS|,|GUATEMALA|
|ORGANISMO JUDICIAL|,|QUETZALTENANGO|,|3377725|,|11120002 - ORGANISMO JUDICIAL|,|UNIDAD DE COMPRAS REGIONAL DE QUETZALTENANGO|,|QUETZALTENANGO|
