|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q17,300.00|,|5061695|,|8279101|,|4623479|,|LEVANTAMIENTO DE PLANIFICACION DEL PROYECTO MEJORAMIENTO CALLE SECTOR 6 CAMBOTE ZONA 11, HUEHUETENANGO, HUEHUETENANGO|,|24.junio.2016 Hora:10:57:27 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:10:00:00 a. m.|,|DIRECCIÓN MUNICIPAL DE PLANIFICACIÓN|,|1|,|01.julio.2016 Hora:1:36:05 p. m.|,|28.junio.2016 Hora:10:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q644,100.00|,|5020255|,|68501846|,|598629K|,|CONSERVACIÓN CAMINO RURAL ALDEA QUIAJOLA, SAN SEBASTIÁN HUEHUETENANGO, HUEHUETENANGO|,|17.junio.2016 Hora:6:57:26 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|01.julio.2016 Hora:9:00:00 a. m.|,|MUNICIPALIDAD DE SAN SEBASTIAN HUEHUETENANGO, HUEHUETENANGO|,|1|,|01.julio.2016 Hora:7:55:34 p. m.|,|01.julio.2016 Hora:9:30:00 a. m.|
|Electricidad y aire acondicionado|,|Terminado adjudicado|,|Q71,950.00|,|5047943|,|12263990|,|5986664|,|400 Bombillos 30 Watts Multivoltaje para lámparas de alumbrado publico.|,|22.junio.2016 Hora:12:18:28 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|24.junio.2016 Hora:8:00:00 a. m.|,|MUNICIPALIDAD DE SAN PEDRO SOLOMA|,|2|,|01.julio.2016 Hora:2:46:52 p. m.|,|24.junio.2016 Hora:8:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q9,400.00|,|5060141|,|16854896|,|6666396|,|ADQUISICIÓN / COMPRA DE MATERIALES LOS CUALES SERÁN DESTINADOS PARA FINALIZAR EL PROYECTO DE CONSTRUCCION DE DOS AULAS PARA LA E.O.R.M. DEL CASERIO PAJUYÁ DE ESTE MUNICIPIO JOYABAJ, QUICHE.|,|24.junio.2016 Hora:9:16:34 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:9:00:00 a. m.|,|ENCARGADO DE COMPRAS, DAFIM|,|1|,|01.julio.2016 Hora:1:05:05 p. m.|,|28.junio.2016 Hora:9:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q45,131.50|,|5067138|,|63498766|,|6852645|,|MATERIALES DE CONSTRUCCIÓN PARA MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE EN LA ALDEA LAS PARCELAS, DEL MUNICIPIO DE SAN ANDRÉS SAJCABAJÁ, QUICHÉ|,|27.junio.2016 Hora:10:51:54 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.junio.2016 Hora:8:00:00 a. m.|,|DIRECCIÓN ADMINISTRATIVA FINANCIERA INTEGRADA MUNICIPAL|,|1|,|01.julio.2016 Hora:9:46:20 a. m.|,|29.junio.2016 Hora:8:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q711,300.00|,|5019729|,|68501846|,|598629K|,|CONSERVACIÓN CAMINO RURAL DE CANTON ARENAL HACIA CASERIO CACALEP, SAN SEBASTIÁN HUEHUETENANGO, HUEHUTENANGO|,|17.junio.2016 Hora:7:06:41 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|01.julio.2016 Hora:11:00:00 a. m.|,|MUNICIPALIDAD DE SAN SEBASTIAN HUEHUETENANGO, HUEHUETENANGO|,|1|,|01.julio.2016 Hora:8:24:45 p. m.|,|01.julio.2016 Hora:11:30:00 a. m.|
|Electricidad y aire acondicionado|,|Terminado adjudicado|,|Q44,445.00|,|5071739|,|66189438|,|6712207|,|MEJORAMIENTO SISTEMA DE AGUA POTABLE POR BOMBEO (DOTACION DE MATERIALES) PARAJE CHOCOL, CANTÓN CHICHIMUCH, SANTA LUCÍA UTATLÁN, SOLOLÁ.|,|27.junio.2016 Hora:5:35:28 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.junio.2016 Hora:8:30:00 a. m.|,|MUNICIPALIDAD DE SANTA LUCIA UTATLAN, SOLOLA.|,|12|,|01.julio.2016 Hora:4:11:12 p. m.|,|29.junio.2016 Hora:9:00:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q899,600.00|,|5020158|,|68501846|,|598629K|,|CONSERVACIÓN CAMINO RURAL ALDEA TOJCHEC, SAN SEBASTIÁN HUEHUETENANGO, HUEHUETENANGO|,|17.junio.2016 Hora:7:09:49 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|01.julio.2016 Hora:2:00:00 p. m.|,|MUNICIPALIDAD DE SAN SEBASTIAN HUEHUETENANGO, HUEHUETENANGO|,|1|,|01.julio.2016 Hora:8:44:04 p. m.|,|01.julio.2016 Hora:2:30:00 p. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q14,800.00|,|5060737|,|8279101|,|4623479|,|LEVANTAMIENTO DE PLANIFICACIÓN DEL PROYECTO MEJORAMIENTO CALLE ALDEA CHILOJA FRENTE A EORM CHILOJA, HUEHUETENANGO,HUEHUETENANGO|,|24.junio.2016 Hora:9:48:11 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:10:00:00 a. m.|,|DIRECCIÓN MUNICIPAL DE PLANIFICACIÓN|,|1|,|01.julio.2016 Hora:11:30:37 a. m.|,|28.junio.2016 Hora:10:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q125.00|,|4817699|,|7593589|,|2342855|,|SET DE MATERIAL DE FIJACION  PRES 2939/2016|,|03.mayo.2016 Hora:3:08:56 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|05.mayo.2016 Hora:8:00:00 a. m.|,|HOSPITAL GENERAL DE ACCIDENTES CEIBAL|,|1|,|02.julio.2016 Hora:8:43:48 p. m.|,|05.mayo.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q22,194.20|,|5070511|,|5386993|,|2551179|,|02 Boleto aéreo Guatemala-Berlín, Alemania-Guatemala|,|27.junio.2016 Hora:3:28:00 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.junio.2016 Hora:8:00:00 a. m.|,|DIRECCION GENERAL DE DOCENCIA|,|1|,|04.julio.2016 Hora:2:12:43 p. m.|,|29.junio.2016 Hora:8:30:00 a. m.|
|1. Limpieza, fumigación y artículos afines~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q85,269.64|,|5054664|,|15905624|,|2342855|,|SERVICIO DE LAVADO Y PLANCHADO DE ESTA UNIDAD HOSPITALARIA POR EL PERIODO DEL 01 DE JULIO AL 31 DE AGOSTO DEL  2016, PARA EL IGSS HOSPITAL DEPARTAMENTAL PUERTO BARRIOS, IZABAL.|,|27.junio.2016 Hora:4:27:41 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.junio.2016 Hora:8:00:00 a. m.|,|HOSPITAL DEPARTAMENTAL PUERTO BARRIOS, IZABAL|,|1|,|04.julio.2016 Hora:10:37:33 a. m.|,|29.junio.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,196.43|,|4978382|,|5686792|,|2342855|,|EVENTO 969/2016, INTERFERÓN BETA 1-A, JERINGA PRELLENADA, 12,000,000 UI EN 0.5 ML|,|06.junio.2016 Hora:2:15:04 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|08.junio.2016 Hora:10:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ESPECIALIDADES MEDICO-QUIRURGICAS "GERONA"|,|1|,|04.julio.2016 Hora:9:51:48 a. m.|,|08.junio.2016 Hora:10:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q38,580.36|,|5060699|,|320811|,|2342855|,|CODIGO 863 FENTANIL CITRATO, SOLUCIÓN INYECTABLE 0.05 MG/ML VIAL O AMPOLLA DE 2 ML - 10 ML.|,|27.junio.2016 Hora:3:03:48 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.junio.2016 Hora:8:30:00 a. m.|,|HOSPITAL DE GINECO OBSTETRICIA|,|1|,|04.julio.2016 Hora:9:45:45 a. m.|,|29.junio.2016 Hora:9:00:00 a. m.|
|Alimentos y semillas|,|Terminado adjudicado|,|Q52,435.75|,|5076099|,|17026776|,|2318024|,|ADQUISICIÓN DE PLANILLA DE FRUTAS Y VERDURAS. MSPAS No. 2016-ROO-CD-1910.|,|28.junio.2016 Hora:3:27:15 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|04.julio.2016 Hora:8:30:00 a. m.|,|HOSPITAL ROOSEVELT|,|32|,|04.julio.2016 Hora:2:49:01 p. m.|,|04.julio.2016 Hora:9:00:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,257.14|,|5064929|,|22345388|,|2342855|,|LISTADO 3134-2016 CODIGO 10571 GUATECOMPRAS.|,|25.junio.2016 Hora:7:26:29 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:8:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|1|,|04.julio.2016 Hora:2:01:40 p. m.|,|28.junio.2016 Hora:8:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q69,605.00|,|5068045|,|42866812|,|2835126|,|Materiales y Suministros de Ferretería Para Reparación Ferry del Rio Petexbatun, Sayaxche Petén|,|27.junio.2016 Hora:11:39:04 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.junio.2016 Hora:11:00:00 a. m.|,|MUNICIPALIDAD DE SAYAXCHE|,|1|,|04.julio.2016 Hora:3:04:11 p. m.|,|29.junio.2016 Hora:11:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q90,000.00|,|5081459|,|25038923|,|2318024|,|Albúmina Humana solución inyectable 25% vial 50ml 1 o más pasos de inactivación viral|,|29.junio.2016 Hora:3:27:41 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|04.julio.2016 Hora:8:00:00 a. m.|,|HOSPITAL GENERAL SAN JUAN DE DIOS|,|1|,|04.julio.2016 Hora:3:30:46 p. m.|,|04.julio.2016 Hora:8:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q22,437.00|,|5029791|,|78734746|,|4094646|,|COMPRA DE BOMBA SUMERGIBLE PARA   POZO MECANICO  ALDEA EL ZAPOTE, SAN PEDRO PINULA|,|16.junio.2016 Hora:1:01:51 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|20.junio.2016 Hora:8:00:00 a. m.|,|DIRECION MUNICIPAL DE PLANIFICACION DMP|,|1|,|04.julio.2016 Hora:4:06:25 p. m.|,|20.junio.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q12,300.00|,|5061261|,|61624306|,|4623479|,|LEVANTAMIENTO DE PLANIFICACION DEL PROYECTO MEJORAMIENTO CALLE DOCE AVENIDA A ZONA CUATRO, SECTOR LAS POSITAS, FASE DOS, HUEHUETENANGO, HUEHUETENANGO|,|24.junio.2016 Hora:10:17:03 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:11:00:00 a. m.|,|DIRECCIÓN MUNICIPAL DE PLANIFICACIÓN|,|1|,|04.julio.2016 Hora:10:38:04 p. m.|,|28.junio.2016 Hora:11:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q8,705.36|,|5017750|,|12074462|,|2342855|,|COD  11861 LAMINA PORTA OBJETOS DE VIDRIO TRANSPARENTE DE 1 X 3" NO ESMERILADO  CANTIDAD 650 PEDIDO 215/2016|,|15.junio.2016 Hora:11:41:26 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|17.junio.2016 Hora:8:00:00 a. m.|,|UNIDAD PERIFERICA ZONA 11|,|1|,|04.julio.2016 Hora:9:00:11 a. m.|,|17.junio.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q87,125.00|,|5063647|,|7593201|,|2342855|,|LISTADO No. 3121-2016 BOLSA PARA COLOSTOMIA/ILEOSTOMIA CODIGO IGSS 8629|,|24.junio.2016 Hora:3:29:02 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:8:30:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|1|,|04.julio.2016 Hora:3:39:51 p. m.|,|28.junio.2016 Hora:9:00:00 a. m.|
|1. Limpieza, fumigación y artículos afines~2. Papelería y artículos de librería~3. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q10,162.29|,|4956796|,|66658675|,|2342855|,|TOALLA DE PAPEL TIPO EXTENDER 800 PIES, COLOR BLANCO, ANCHO 7.75" FARDO DE 12 ROLLOS. SEGÚN SIAF 1457/2016, CÓDIGO IGSS S/C.|,|31.mayo.2016 Hora:3:07:38 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|03.junio.2016 Hora:9:00:00 a. m.|,|CONSULTORIO VILLA NUEVA, GUATEMALA|,|1|,|04.julio.2016 Hora:1:52:28 p. m.|,|03.junio.2016 Hora:9:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q31,719.45|,|4944712|,|39796558|,|2342855|,|P-1192 C-150 LANSOPRAZOL, CAPSULA CON GRANULOS DE LIBERACION PROLONGADA 30 MG|,|30.mayo.2016 Hora:9:39:50 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|01.junio.2016 Hora:1:30:00 p. m.|,|UNIDAD PERIFERICA ZONA 5|,|1|,|04.julio.2016 Hora:6:48:17 a. m.|,|01.junio.2016 Hora:2:00:00 p. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q84,932.00|,|5077273|,|12543438|,|5339847|,|CONSERVACIÓN CALLE ENTRADA COLONIA TZANJUYU EL TEJAR|,|28.junio.2016 Hora:5:15:14 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|30.junio.2016 Hora:8:00:00 a. m.|,|OFICINA MUNICIPAL DE PLANIFICACION DEL TEJAR|,|1|,|04.julio.2016 Hora:6:16:35 p. m.|,|30.junio.2016 Hora:8:30:00 a. m.|
|1. Alimentos y semillas~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q682.50|,|5010519|,|24123587|,|6027334|,|Servicio de alimentación para cubrir sesión 09 del postgrado, las cuales deben ser servidas en el salón mayor UVIGER facultad de Agronomía USAC zona 12, el día 01 de julio a las 16:00 horas.|,|13.junio.2016 Hora:2:43:44 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|16.junio.2016 Hora:11:00:00 a. m.|,|ADMINISTRACIÓN CENTRAL|,|3|,|04.julio.2016 Hora:8:06:36 a. m.|,|16.junio.2016 Hora:11:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q66,760.80|,|5075750|,|39796558|,|2318024|,|ADQUISICION DE AMOXICILINA 500mg.TABLETA, PARA LA DIRECCION DE ÁREA DE SALUD DE BAJA VERAPAZ.|,|28.junio.2016 Hora:2:27:43 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|01.julio.2016 Hora:8:00:00 a. m.|,|AREA DE SALUD DE SALAMA, BAJA VERAPAZ|,|1|,|04.julio.2016 Hora:4:30:08 p. m.|,|01.julio.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q26,892.86|,|4931963|,|359815|,|2342855|,|EVENTO 895/2016, RANIBIZUMAB, SOLUCION INYECTABLE 10 MG/ML VIAL 0.23 ML/2.3 MG|,|25.mayo.2016 Hora:2:58:23 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.mayo.2016 Hora:10:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ESPECIALIDADES MEDICO-QUIRURGICAS "GERONA"|,|1|,|04.julio.2016 Hora:10:58:52 a. m.|,|27.mayo.2016 Hora:10:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,257.14|,|5064899|,|22345388|,|2342855|,|LISTADO 3131-2016 CODIGO 10571 GUATECOMPRAS.|,|25.junio.2016 Hora:7:25:09 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.junio.2016 Hora:8:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|1|,|04.julio.2016 Hora:2:09:01 p. m.|,|28.junio.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q81,919.64|,|5057434|,|60496355|,|2342855|,|COD. 75085  ELOSULFASA ALFA VIAL 5 MG/5ML. (VIMIZIN)|,|23.junio.2016 Hora:3:22:06 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.junio.2016 Hora:8:00:00 a. m.|,|UNIDAD PERIFERICA ZONA 11|,|1|,|04.julio.2016 Hora:3:41:21 p. m.|,|27.junio.2016 Hora:8:30:00 a. m.|
