|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q85,000.00|,|4584988|,|21162484|,|6506658|,|MANTENIMIENTO CARRETERA ALDEA CERRO REDONDO HACIA CASERIO EL TABLON ZAPOTITLAN, JUTIAPA|,|25.febrero.2016 Hora:9:37:37 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|26.febrero.2016 Hora:10:00:00 a. m.|,|MUNICIPALIDAD DE ZAPOTITLAN, JUTIAPA|,|1,000|,|01.marzo.2016 Hora:12:42:10 p. m.|,|26.febrero.2016 Hora:10:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q1,050.00|,|4528395|,|5181496|,|2342855|,|PEDIDO No. 502/2016, CANTIDAD -2-, MANTENIMIENTO PREVENTIVO A REVELADORA|,|10.febrero.2016 Hora:9:49:23 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|12.febrero.2016 Hora:9:00:00 a. m.|,|POLICLINICA|,|2|,|01.marzo.2016 Hora:11:49:16 a. m.|,|12.febrero.2016 Hora:9:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q84,888.38|,|4570820|,|320811|,|2342855|,|LISTADO 623-2016 IRBESARTAN TABLETA 150 MG. CODIGO 759 SE SOLICITA PARA PACIENTES AMPARADOS|,|22.febrero.2016 Hora:2:38:08 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|25.febrero.2016 Hora:8:30:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|10,010|,|01.marzo.2016 Hora:12:07:29 p. m.|,|25.febrero.2016 Hora:9:00:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q180,000.00|,|4526538|,|5803446|,|12095249|,|DÉCIMO OCTAVO CICLO DE PROYECTOS FONACON 2016. MODALIDAD II: PERFIL F14/2016/FONACON|,|12.febrero.2016 Hora:12:33:08 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|25.febrero.2016 Hora:10:00:00 a. m.|,|GERENCIA EJECUTIVA DE FONACON|,|1|,|01.marzo.2016 Hora:3:46:19 p. m.|,|25.febrero.2016 Hora:10:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q86,062.50|,|4588592|,|7477279|,|2342855|,|LISTADO 674-2016 FEIBA GUATECOMPRAS|,|25.febrero.2016 Hora:3:34:58 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.febrero.2016 Hora:8:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|17|,|01.marzo.2016 Hora:5:39:35 a. m.|,|29.febrero.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,760.00|,|4589866|,|7477279|,|2342855|,|LISTADO 714-2016 CODIGO 10584 GUATECOMPRAS.|,|25.febrero.2016 Hora:5:51:35 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.febrero.2016 Hora:8:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|22|,|01.marzo.2016 Hora:5:12:04 a. m.|,|27.febrero.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q28,780.00|,|4576012|,|1532227|,|25907026|,|IMPRESIÓN DE 2,000 MILLARES DE RECIBOS ESCALONADOS DE INGRESOS VARIOS 31-B|,|23.febrero.2016 Hora:10:41:09 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|25.febrero.2016 Hora:3:30:00 p. m.|,|EMT|,|2,000|,|01.marzo.2016 Hora:4:58:51 p. m.|,|25.febrero.2016 Hora:4:00:00 p. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q350.00|,|4524756|,|6062202|,|2342855|,|PEDIDO No. 504/2016, CANTIDAD -1-|,|09.febrero.2016 Hora:9:03:44 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|12.febrero.2016 Hora:9:00:00 a. m.|,|POLICLINICA|,|1|,|01.marzo.2016 Hora:11:21:18 a. m.|,|12.febrero.2016 Hora:9:30:00 a. m.|
|1. Papelería y artículos de librería~2. Textiles, ropa y calzado~3. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q655.80|,|4585437|,|25294016|,|2342855|,|CINTA PLASTICA ROTULADORA, COLOR BLANCO DE 12MM X 4M-1/2 X 13 Y ROLLO DE CAÑAMO.|,|25.febrero.2016 Hora:12:45:37 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.febrero.2016 Hora:8:00:00 a. m.|,|CENTRO DE ATENCION MEDICA INTEGRAL PARA PENSIONADOS, CAMIP 2 BARRANQUILLA|,|2~10|,|01.marzo.2016 Hora:9:06:09 a. m.|,|29.febrero.2016 Hora:8:30:00 a. m.|
|Salud e insumos hospitalarios|,|Terminado adjudicado|,|Q89,257.14|,|4589513|,|22345388|,|2342855|,|LISTADO 701-2016 CODIGO 10571 GUATECOMPRAS.|,|25.febrero.2016 Hora:5:40:36 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.febrero.2016 Hora:8:00:00 a. m.|,|UNIDAD DE CONSULTA EXTERNA DE ENFERMEDADES|,|355|,|01.marzo.2016 Hora:5:56:55 a. m.|,|27.febrero.2016 Hora:8:30:00 a. m.|
