|categoria|,|status|,|monto|,|nog|,|nit_proveedor|,|nit_comprador|,|descripcion|,|fecha_publicada|,|modalidad_compra|,|tipo_ofertas|,|fecha_presentacion_ofertas|,|nombre_comprador|,|unidades|,|fecha_adjudicada|,|fecha_cierre_ofertas|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q89,025.00|,|4796276|,|33405352|,|6264727|,|MEJORAMIENTO POLIDEPORTIVO MUNICIPAL, BARRIO SAN MIGUEL CENTRO, GUAZACAPÁN SANTA ROSA|,|26.abril.2016 Hora:4:45:58 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.abril.2016 Hora:8:00:00 a. m.|,|DEPARTAMENTO DE COMPRAS Y CONTRATACIONES|,|1|,|01.mayo.2016 Hora:4:43:50 p. m.|,|28.abril.2016 Hora:8:30:00 a. m.|
|Construcción y materiales afines|,|Terminado adjudicado|,|Q89,700.00|,|4795601|,|81062788|,|6264727|,|MEJORAMIENTO SISTEMA DE DISTRIBUCION DE AGUA BARRIO SAN SEBASTIAN Y SAN MIGUEL ORIENTE, GUAZACAPÁN SANTA ROSA|,|26.abril.2016 Hora:3:21:54 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.abril.2016 Hora:8:00:00 a. m.|,|DEPARTAMENTO DE COMPRAS Y CONTRATACIONES|,|1|,|01.mayo.2016 Hora:4:34:44 p. m.|,|28.abril.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q47,500.00|,|4802152|,|78400066|,|6336051|,|SERVICIO  COREOGRAFÍA ARTÍSTICA, NO OFERTADA EN EL NOG 4791525|,|28.abril.2016 Hora:8:51:15 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|02.mayo.2016 Hora:8:30:00 a. m.|,|DEPARTAMENTO DE COMPRAS|,|4|,|02.mayo.2016 Hora:3:55:31 p. m.|,|02.mayo.2016 Hora:9:00:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q16,352.00|,|4802152|,|2579219|,|6336051|,|SERVICIO  COREOGRAFÍA ARTÍSTICA, NO OFERTADA EN EL NOG 4791525|,|28.abril.2016 Hora:8:51:15 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|02.mayo.2016 Hora:8:30:00 a. m.|,|DEPARTAMENTO DE COMPRAS|,|4|,|02.mayo.2016 Hora:3:55:31 p. m.|,|02.mayo.2016 Hora:9:00:00 a. m.|
|1. Textiles, ropa y calzado~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q198,496.80|,|4665651|,|347272|,|2360837|,|ADQUISICION DE TRAJES DE BAÑO PARA LA VENTA EN TIENDAS DE SOUVENIRS DEL PAQUE ACUATICO XOCOMIL|,|30.marzo.2016 Hora:4:54:11 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|12.abril.2016 Hora:3:00:00 p. m.|,|DC OFICINAS CENTRALES|,|4|,|02.mayo.2016 Hora:5:35:57 p. m.|,|12.abril.2016 Hora:3:30:00 p. m.|
|1. Textiles, ropa y calzado~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q173,746.80|,|4665651|,|7273991|,|2360837|,|ADQUISICION DE TRAJES DE BAÑO PARA LA VENTA EN TIENDAS DE SOUVENIRS DEL PAQUE ACUATICO XOCOMIL|,|30.marzo.2016 Hora:4:54:11 p. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|12.abril.2016 Hora:3:00:00 p. m.|,|DC OFICINAS CENTRALES|,|4|,|02.mayo.2016 Hora:5:35:57 p. m.|,|12.abril.2016 Hora:3:30:00 p. m.|
|Alimentos y semillas|,|Terminado adjudicado|,|Q9,796.00|,|4800567|,|3200043|,|2360837|,|12,400 UNIDADES PAN HOT DOG|,|27.abril.2016 Hora:4:04:50 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|29.abril.2016 Hora:4:00:00 p. m.|,|PARQUE ACUÀTICO XOCOMIL|,|1|,|02.mayo.2016 Hora:11:44:10 a. m.|,|29.abril.2016 Hora:4:30:00 p. m.|
|Computación y telecomunicaciones|,|Terminado adjudicado|,|Q276,150.00|,|4652797|,|5941679|,|3225399|,|RENOVACIÓN DE LICENCIAMIENTOS DE SOFTWARE POR LOTES, A SOLICITUD DE LA DIRECCIÓN DE INFORMÁTICA -DINFO-|,|22.marzo.2016 Hora:11:01:10 a. m.|,|Cotización (Art. 38 LCE)|,|Sólo en papel.|,|08.abril.2016 Hora:10:00:00 a. m.|,|DIRECCIÓN DE ADQUISICIONES Y CONTRATACIONES -DIDECO-|,|3|,|02.mayo.2016 Hora:5:22:41 p. m.|,|08.abril.2016 Hora:10:30:00 a. m.|
|1. Electricidad y aire acondicionado~2. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q20,000.00|,|4744543|,|55459641|,|77115023|,|1 SERVICIO DE DESINSTALACIÓN Y TRASLADO E INSTALACIÓN DE CÁMARA REFRIGERANTE CON 6 ENTREPAÑOS DE 8 PIES DE ALTO X 9 PIES DE ANCHO Y 9 PIES DE LARGO (CUARTO FRÍO)|,|12.abril.2016 Hora:4:10:06 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|14.abril.2016 Hora:8:00:00 a. m.|,|UNIDAD DE ADMINISTRACI¿N FINANCIERA UDAF DEL MINISTERIO DE DESARROLLO SOCIAL|,|1|,|02.mayo.2016 Hora:9:19:24 a. m.|,|14.abril.2016 Hora:8:30:00 a. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q68,820.00|,|4794419|,|67241999|,|19602227|,|DOS (2) DRONES PARA LA DIRECCIÓN DE CATASTRO Y ADMINISTRACIÓN DEL IUSI|,|26.abril.2016 Hora:12:37:21 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|28.abril.2016 Hora:12:00:00 p. m.|,|DIRECCION DE CATASTRO Y ADMINISTRACION DE IUSI|,|1|,|02.mayo.2016 Hora:1:11:43 p. m.|,|28.abril.2016 Hora:12:30:00 p. m.|
|1. Limpieza, fumigación y artículos afines~2. Papelería y artículos de librería~3. Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q43,100.50|,|4784537|,|66658675|,|2492334|,|ROLLOS DE PAPEL HIGIÉNICO PARA DISPENSADOR Y ROLLO DE PAPEL TIPO TOALLA PARA SECAR MANOS|,|22.abril.2016 Hora:11:25:02 a. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|26.abril.2016 Hora:2:00:00 p. m.|,|DIRECCIÓN GENERAL DEL DIARIO DE CENTRO AMERICA Y TIPOGRAFÍA NACIONAL|,|2|,|02.mayo.2016 Hora:12:40:41 p. m.|,|26.abril.2016 Hora:2:30:00 p. m.|
|Otros tipos de bienes o servicios|,|Terminado adjudicado|,|Q43,215.00|,|4790588|,|12341606|,|3441024|,|SERVICIO DE IMPRESION DE VOLANTES, TRIFOLIARES, DIPLOMAS, INVITACIONES, AFICHES PARA LAS ACTIVIDADES DE LA REGENCIA NORTE.|,|25.abril.2016 Hora:4:40:29 p. m.|,|Compra Directa con Oferta Electrónica (Art. 43 LCE Inciso b)|,|Sólo electrónicas.|,|27.abril.2016 Hora:9:30:00 a. m.|,|REGENCIA NORTE|,|5|,|02.mayo.2016 Hora:12:56:12 p. m.|,|27.abril.2016 Hora:10:00:00 a. m.|
